amount,merchant,description,label
493.82,Shell,Piece seem may entire under change.,normal
564.4,Shell,Discover talk truth spring important various party.,normal
132.85,Starbucks,Seek economy marriage again.,normal
127.09,Walmart,Major member early society approach.,normal
107.91,Netflix,Interest least impact sport guy my.,entertainment
97.64,Shell,Believe case avoid.,normal
97.97,Starbucks,Actually into discover picture camera.,normal
460.44,Amazon,Player once design nor.,normal
74.19,Shell,Despite alone lead discuss.,utilities
146.19,Starbucks,Peace several little where pretty particularly science red.,entertainment
484.06,Starbucks,Big begin seven name treatment.,normal
188.72,Starbucks,Human involve opportunity sometimes fight part drop.,normal
97.7,LocalMarket,Base team information notice quite until authority most.,normal
294.71,LocalMarket,Assume interview character wonder believe choice.,groceries
320.35,Shell,At commercial I white quality behind read.,normal
466.61,LocalMarket,Knowledge former cold our push position to difference.,normal
1351.09,InsuranceCo,Keep talk pattern minute.,fraudulent
77.7,Starbucks,Staff medical morning forget.,entertainment
272.54,InsuranceCo,Contain figure almost consider score college.,normal
90.06,Starbucks,Model knowledge medical maintain institution.,entertainment
2985.98,Amazon,Kid company next could become note stay.,fraudulent
184.09,LocalMarket,Stay though a.,normal
232.78,Walmart,Small that himself eight defense.,groceries
48.4,Walmart,Raise guy so miss network attorney.,groceries
225.92,InsuranceCo,Research kid between space.,normal
763.22,LocalMarket,Life recently my.,normal
367.52,Starbucks,Key southern agency out put agree kind.,normal
764.97,Shell,Occur record black develop tend fish teacher final.,normal
54.36,InsuranceCo,Truth community even field region light.,normal
211.71,Starbucks,Beyond affect natural fire or stock.,normal
266.81,InsuranceCo,Good success her husband language tonight toward.,normal
57.85,Netflix,Run population describe explain up civil grow.,entertainment
48.54,Netflix,Number citizen identify after.,entertainment
155.79,LocalMarket,Pressure too blue director.,normal
480.6,Shell,Movie me fast remain involve.,utilities
383.62,LocalMarket,Why class without bag today.,normal
335.98,Starbucks,Keep hair your catch respond ago carry.,normal
422.51,LocalMarket,History manage lead TV west country.,normal
206.67,LocalMarket,Fear space art defense arrive detail.,groceries
47.92,Netflix,Adult college once woman evidence.,normal
83.64,Walmart,During enter who shoulder agreement.,normal
684.97,Shell,Especially clearly much only seek wish for.,normal
254.41,Walmart,Push TV there price.,groceries
289.67,InsuranceCo,Explain everybody economic hold despite kind.,utilities
469.8,Shell,Already wear still health approach.,utilities
231.91,Shell,Visit usually involve citizen share analysis ok because.,normal
407.93,Amazon,Apply major must also.,normal
186.2,Netflix,Man event public more.,normal
111.34,InsuranceCo,Yeah exist size cut defense.,normal
332.2,InsuranceCo,Surface open better throughout skill surface with.,normal
2949.33,InsuranceCo,Act push little small officer.,fraudulent
187.39,Netflix,Close skin wrong determine.,entertainment
791.19,Amazon,Product million admit evening carry now TV happy.,normal
544.93,Walmart,Matter case institution table.,normal
595.67,InsuranceCo,Half position site require pull close.,normal
28.85,Starbucks,End specific customer position able chance indicate.,entertainment
50.41,LocalMarket,Character theory recently year.,groceries
102.6,Walmart,Away it kid.,groceries
206.06,Amazon,News safe rather memory culture majority.,normal
556.99,Shell,Floor box about feeling until success more since.,normal
2654.73,InsuranceCo,Arrive resource decade point region.,fraudulent
644.76,Walmart,Defense some kitchen carry I vote.,normal
294.7,Shell,Food perhaps apply cause act interest.,normal
502.37,Shell,Research him girl current.,normal
260.53,Netflix,Trade ball role present course.,normal
472.38,LocalMarket,East hot role include unit board.,normal
475.26,LocalMarket,Direction identify success or dog democratic.,normal
228.6,LocalMarket,Tell event summer television already television.,groceries
653.84,InsuranceCo,School ten southern eat station according new.,normal
763.42,Netflix,Left send put save attack.,normal
577.28,Amazon,Really against team drive need student.,normal
658.53,Amazon,Over sure reach yeah statement only particularly name.,normal
491.58,InsuranceCo,Go address trial agreement organization office we wrong.,utilities
190.01,LocalMarket,Paper which mean least too face.,normal
274.68,Walmart,Here economic challenge before north.,groceries
537.92,Shell,Garden race make necessary south southern example beautiful.,normal
297.24,LocalMarket,Task arrive represent finish exist less.,groceries
455.32,Amazon,Look both early make style instead rule alone.,normal
388.75,Walmart,Give painting road million window month hundred.,normal
211.17,Walmart,Note apply room billion bank take.,groceries
286.51,Shell,Sort seven carry hour.,normal
137.44,Walmart,Industry together television adult apply.,normal
122.36,Shell,Perhaps shake available soon threat trouble.,utilities
53.53,Netflix,Fight Mr central admit energy including include.,entertainment
368.77,Shell,Soon help and effect weight have stay.,normal
125.78,Starbucks,Choose result four employee cut.,entertainment
520.1,LocalMarket,Commercial prepare big right do future range.,normal
621.49,Shell,Last me gun.,normal
434.73,InsuranceCo,Wish finally take after sure material service.,normal
1121.49,InsuranceCo,Admit field oil really skill animal.,fraudulent
738.6,LocalMarket,Door report home.,normal
42.56,Amazon,Need yes series condition forward real measure.,normal
427.38,Shell,Despite responsibility heavy still scene speech information sister.,utilities
105.04,Netflix,Professional decade that event TV personal.,normal
86.57,InsuranceCo,Always country evidence think professor safe.,utilities
25.76,Walmart,Big paper either from.,normal
188.87,Shell,Finally expert its book again similar.,normal
1713.75,InsuranceCo,Popular suggest thank hold above stage side door.,fraudulent
604.63,Amazon,Direction all usually far keep local success not.,normal
178.29,Shell,Reduce quality section miss staff.,utilities
221.76,Shell,Wall TV within.,utilities
234.97,Walmart,Street year century.,groceries
523.08,Starbucks,By improve avoid better figure.,normal
170.89,Netflix,Player effect hospital too yeah morning.,entertainment
210.8,Walmart,Look claim family music design politics.,groceries
749.92,InsuranceCo,Employee because close.,normal
356.99,InsuranceCo,Before learn relationship become particular family.,normal
414.8,LocalMarket,House feeling road outside and car treatment.,normal
334.43,Amazon,Throughout consumer tend energy would computer.,normal
203.63,Walmart,Interview peace voice threat generation trial of west.,normal
577.05,Starbucks,By good present big chance evidence.,normal
596.86,LocalMarket,City generation try ahead.,normal
219.99,Starbucks,Cost thought rich most exist bad.,normal
592.77,Shell,Election camera three happen need cell.,normal
49.71,LocalMarket,Majority recent media economy while structure especially table.,groceries
165.98,Shell,Four point choice contain I while.,utilities
645.68,Shell,Young art family attorney discuss.,normal
260.92,Amazon,Office task middle arrive.,normal
391.33,Shell,Win herself at quite like since.,normal
698.72,LocalMarket,Religious without share.,normal
480.66,Shell,Force front way would.,normal
258.91,Walmart,If term kitchen simply wife common professional.,normal
257.84,LocalMarket,Feeling thing think traditional program summer.,normal
170.29,Walmart,Hundred already build.,groceries
555.78,Netflix,Event grow Mrs standard particularly.,normal
353.86,Walmart,Girl party sign.,normal
45.67,Starbucks,Through first huge send democratic plant state.,entertainment
327.22,InsuranceCo,Risk anyone mention yourself church middle like.,normal
133.64,Walmart,Main activity company whose land ball industry.,normal
37.59,LocalMarket,Such imagine table my suffer.,normal
171.41,Walmart,International have describe defense coach car three.,groceries
504.31,Amazon,Force line argue should blue.,normal
553.18,Netflix,Win show spring between.,normal
731.22,LocalMarket,Course research peace great why term.,normal
673.09,Walmart,Bit present moment future manage let body.,normal
2297.53,InsuranceCo,Senior girl institution guess whether recognize.,fraudulent
61.97,LocalMarket,Protect same event red what.,groceries
280.8,LocalMarket,Behavior become back course there.,groceries
63.44,Shell,Parent challenge best hospital first.,normal
156.37,Walmart,Rest past involve behavior particularly wrong.,groceries
654.57,Shell,Set million subject around.,normal
433.05,Amazon,Strong we wife.,normal
570.58,InsuranceCo,Floor none in technology.,normal
480.5,Starbucks,Week positive yet only.,normal
176.05,Shell,Individual rather issue head already president.,utilities
163.08,InsuranceCo,Picture include call.,utilities
264.7,Amazon,Public page majority store.,normal
574.37,Starbucks,After fall cut prove major admit hope.,normal
372.99,LocalMarket,Hard cultural star stand field.,normal
797.86,Shell,Onto establish find range member picture opportunity.,normal
248.4,Walmart,Mr deal need to.,normal
294.82,Walmart,Major likely finish gas I.,normal
141.08,Shell,Follow establish if kind reduce.,normal
184.42,Amazon,Minute situation have decade name.,normal
172.63,LocalMarket,Mind impact information different worry writer child news.,groceries
531.12,LocalMarket,Better senior rest minute offer late which.,normal
761.08,LocalMarket,Right special language painting prevent throw guy economy.,normal
380.1,Netflix,Measure doctor loss anything the civil lead push.,normal
326.86,Shell,Third suggest role security night as.,utilities
88.17,Shell,Wait activity number entire material design.,normal
465.81,InsuranceCo,Pretty line foot.,utilities
123.07,LocalMarket,Range wear determine her form these.,groceries
732.35,Starbucks,Major onto pattern song hotel teacher.,normal
558.85,Amazon,Senior miss nice cause it.,normal
78.6,InsuranceCo,She live light still increase.,utilities
787.92,LocalMarket,Better night individual strategy not bad.,normal
785.52,InsuranceCo,Talk science claim if design behind.,normal
596.4,Amazon,Pretty individual writer she claim production possible.,normal
411.19,Amazon,Cause imagine movie Democrat sometimes sort.,normal
359.41,InsuranceCo,Seek might prepare large under month.,normal
797.83,Walmart,Expect trip public.,normal
542.53,Shell,Democrat physical mouth major music stage model.,normal
702.42,Starbucks,Interest single accept pattern have.,normal
352.68,Walmart,Certain already difficult prepare sort attention imagine cause.,normal
60.69,Walmart,Investment success cost need try.,groceries
21.62,LocalMarket,Like should memory knowledge its.,normal
65.45,Walmart,Method city western conference cold perform.,groceries
123.53,Starbucks,Need resource figure.,entertainment
739.1,LocalMarket,State kind with try.,normal
501.54,InsuranceCo,Store alone recognize person.,normal
274.03,Shell,Receive score camera owner.,normal
